subject	total	semester
02.542	90	20122
02.543	61	20132
02.544	105	20131
02.545	39	20112
02.545	45	20121
02.545	95	20132
02.545	116	20141
02.546	19	20122
02.546	47	20131
02.547	58	20132
02.547	73	20141
02.548	16	20122
02.548	26	20131
02.549	15	20101
02.549	9	20112
02.549	12	20121
02.549	6	20132
02.549	7	20141
02.550	7	20112
02.550	6	20121
02.550	11	20132
02.550	7	20141
03.500	84	20082
03.500	84	20091
03.500	80	20101
03.500	119	20112
03.500	112	20121
03.500	140	20132
03.500	142	20141
03.501	24	20092
03.501	48	20102
03.501	64	20111
03.501	66	20122
03.501	110	20131
03.502	15	20082
03.502	16	20091
03.502	16	20101
03.502	15	20112
03.502	18	20121
03.502	13	20132
03.502	21	20141
03.503	6	20092
03.503	9	20102
03.503	9	20111
03.503	19	20122
03.503	10	20131
03.504	205	20082
03.504	354	20091
03.504	303	20101
03.504	219	20112
03.504	391	20121
03.504	180	20132
03.504	336	20141
03.505	241	20092
03.505	259	20102
03.505	246	20111
03.505	255	20122
03.505	208	20131
03.506	111	20082
03.506	105	20091
03.506	148	20101
03.506	184	20112
03.506	141	20121
03.506	162	20132
03.506	155	20141
03.507	184	20081
03.507	240	20092
03.507	248	20102
03.507	396	20111
03.507	215	20122
03.507	279	20131
03.508	292	20082
03.508	396	20091
03.508	317	20101
03.508	214	20112
03.508	368	20121
03.508	152	20132
03.508	279	20141
03.509	196	20081
03.509	219	20092
03.509	267	20102
03.509	344	20111
03.509	214	20122
03.509	306	20131
03.510	133	20081
03.510	297	20092
03.510	302	20102
03.510	327	20111
03.510	207	20122
03.510	274	20131
03.511	102	20082
03.511	213	20091
03.511	252	20101
03.511	397	20112
03.511	317	20121
03.511	278	20132
03.511	286	20141
03.512	148	20092
03.512	186	20102
03.512	270	20111
03.512	259	20122
03.512	295	20131
03.513	17	20091
03.513	105	20101
03.513	191	20112
03.513	202	20121
03.513	178	20132
03.513	233	20141
03.514	86	20102
03.514	161	20111
03.514	156	20122
03.514	180	20131
03.515	39	20091
03.515	62	20101
03.515	111	20112
03.515	165	20121
03.515	147	20132
03.515	251	20141
03.516	28	20092
03.516	46	20102
03.516	70	20111
03.516	121	20122
03.516	113	20131
03.517	37	20091
03.517	86	20101
03.517	135	20112
03.517	172	20121
03.517	151	20132
03.517	243	20141
03.518	20	20092
03.518	67	20102
03.518	73	20111
03.518	132	20122
03.518	130	20131
03.519	53	20101
03.519	109	20112
03.519	92	20121
03.519	168	20132
03.519	165	20141
03.520	43	20101
03.520	84	20112
03.520	125	20121
03.520	135	20132
03.520	162	20141
03.521	48	20092
03.521	51	20102
03.521	105	20111
03.521	73	20122
03.521	125	20131
03.522	119	20091
03.522	195	20101
03.522	280	20112
03.522	326	20121
03.522	264	20132
03.522	304	20141
03.523	66	20092
03.523	110	20102
03.523	160	20111
03.523	201	20122
03.523	183	20131
03.524	84	20082
03.524	137	20091
03.524	260	20101
03.524	382	20112
03.524	359	20121
03.524	309	20132
03.524	318	20141
03.525	123	20092
03.525	165	20102
03.525	210	20111
03.525	220	20122
03.525	251	20131
03.526	85	20101
03.526	158	20112
03.526	177	20121
03.526	166	20132
03.526	193	20141
03.527	44	20092
03.527	83	20102
03.527	108	20111
03.527	133	20122
03.527	178	20131
03.528	25	20101
03.528	84	20112
03.528	127	20121
03.528	155	20132
03.528	143	20141
03.529	18	20092
03.529	63	20102
03.529	57	20111
03.529	127	20122
03.529	141	20131
03.530	33	20092
03.530	50	20102
03.530	57	20111
03.530	74	20122
03.530	83	20131
03.531	63	20082
03.531	72	20091
03.531	99	20101
03.531	165	20112
03.531	234	20121
03.531	207	20132
03.531	245	20141
03.532	74	20092
03.532	111	20102
03.532	144	20111
03.532	175	20122
03.532	205	20131
03.533	16	20101
03.533	61	20112
03.533	99	20121
03.533	278	20141
03.534	44	20102
03.534	62	20111
03.534	102	20122
03.534	81	20131
03.535	94	20082
03.535	55	20091
03.535	68	20101
03.535	101	20112
03.535	94	20121
03.535	157	20132
03.535	212	20141
03.536	3	20102
03.536	6	20111
03.536	46	20122
03.536	44	20131
03.537	27	20112
03.537	28	20121
03.537	60	20132
03.537	59	20141
03.538	7	20092
03.538	8	20102
03.538	28	20111
03.538	65	20131
03.539	36	20112
03.539	81	20141
03.540	27	20112
03.540	46	20132
03.541	16	20092
03.541	41	20102
03.541	64	20122
03.544	114	20132
03.546	46	20132
03.547	35	20092
03.547	42	20102
03.547	39	20122
03.548	62	20121
03.548	55	20141
03.549	70	20111
03.549	124	20131
03.550	57	20111
03.550	128	20131
03.551	53	20141
03.552	22	20102
03.552	64	20111
03.552	89	20122
03.554	41	20122
03.555	17	20082
03.555	26	20091
03.555	62	20101
03.555	229	20121
03.555	223	20141
03.556	35	20102
03.556	40	20111
03.556	73	20131
03.557	49	20112
03.557	76	20132
03.558	22	20092
03.558	45	20102
03.558	70	20122
03.560	163	20112
03.560	308	20132
03.562	96	20121
03.562	69	20141
03.563	14	20092
03.563	29	20102
03.563	54	20122
03.564	73	20121
03.564	99	20141
03.565	34	20122
03.566	57	20091
03.566	79	20101
03.566	71	20112
