subject	total	semester
03.503	8	20102
03.503	8	20111
03.503	14	20122
03.503	9	20131
03.504	136	20082
03.504	278	20091
03.504	236	20101
03.504	167	20112
03.504	308	20121
03.504	151	20132
03.505	199	20092
03.505	209	20102
03.505	183	20111
03.505	196	20122
03.505	150	20131
03.506	78	20082
03.506	74	20091
03.506	101	20101
03.506	150	20112
03.506	109	20121
03.506	111	20132
03.507	129	20081
03.507	164	20092
03.507	169	20102
03.507	271	20111
03.507	153	20122
03.507	172	20131
03.508	160	20082
03.508	230	20091
03.508	210	20101
03.508	127	20112
03.508	234	20121
03.508	98	20132
03.509	134	20081
03.509	147	20092
03.509	164	20102
03.509	232	20111
03.509	133	20122
03.509	144	20131
03.510	91	20081
03.510	181	20092
03.510	205	20102
03.510	202	20111
03.510	143	20122
03.510	176	20131
03.511	81	20082
03.511	161	20091
03.511	184	20101
03.511	271	20112
03.511	224	20121
03.511	204	20132
03.512	108	20092
03.512	125	20102
03.512	192	20111
03.512	155	20122
03.512	177	20131
03.513	12	20091
03.513	80	20101
03.513	145	20112
03.513	161	20121
03.513	133	20132
03.514	75	20102
03.514	142	20111
03.514	136	20122
03.514	159	20131
03.515	33	20091
03.515	52	20101
03.515	91	20112
03.515	132	20121
03.515	115	20132
03.516	27	20092
03.516	40	20102
03.516	55	20111
03.516	111	20122
03.516	94	20131
03.517	27	20091
03.517	64	20101
03.517	114	20112
03.517	140	20121
03.517	108	20132
03.518	16	20092
03.518	60	20102
03.518	61	20111
03.518	119	20122
03.518	118	20131
03.519	41	20101
03.519	88	20112
03.519	68	20121
03.519	123	20132
03.520	38	20101
03.520	72	20112
03.520	108	20121
03.520	111	20132
03.521	34	20092
03.521	36	20102
03.521	76	20111
03.521	52	20122
03.521	99	20131
03.522	78	20091
03.522	112	20101
03.522	168	20112
03.522	187	20121
03.522	155	20132
03.523	56	20092
03.523	93	20102
03.523	124	20111
03.523	161	20122
03.523	144	20131
03.524	60	20082
03.524	102	20091
03.524	163	20101
03.524	207	20112
03.524	209	20121
03.524	146	20132
03.525	84	20092
03.525	107	20102
03.525	121	20111
03.525	145	20122
03.525	139	20131
03.526	63	20101
03.526	99	20112
03.526	118	20121
